segment,kind,frame,yunet_n,yunet_score,yunet_fsize,mesh_ok,ear_l,ear_r,span_x,span_y,blaze_score,blaze_fsize,mean
sweep,rgb,rgb/rgb01.ppm,1,0.9295,121.1437,true,0.2484,0.3326,68.3148,88.4547,0.9101,129.2500,119.4
sweep,rgb,rgb/rgb02.ppm,1,0.9295,136.5733,true,0.2667,0.2190,89.0256,92.1184,0.9267,142.7647,119.4
sweep,rgb,rgb/rgb03.ppm,1,0.9434,134.3631,true,0.2471,0.2464,94.7977,91.6185,0.9492,141.1547,119.5
sweep,rgb,rgb/rgb04.ppm,1,0.9385,132.6843,true,0.2469,0.2747,93.4429,85.0796,0.9424,125.0656,120.5
sweep,rgb,rgb/rgb05.ppm,1,0.9430,144.3971,true,0.2317,0.2557,95.5515,95.4525,0.9524,154.2897,118.9
sweep,rgb,rgb/rgb06.ppm,1,0.9269,122.3197,true,0.2271,0.3346,70.7489,87.0627,0.8968,131.4018,119.2
sweep,rgb,rgb/rgb07.ppm,1,0.9402,136.0933,true,0.2296,0.2636,93.4021,91.5750,0.9370,144.4126,119.3
sweep,ir,ir/frame00.pgm,0,,,false,,,,,,,15.9
sweep,ir,ir/frame01.pgm,0,,,false,,,,,,,128.4
sweep,ir,ir/frame02.pgm,0,,,false,,,,,,,15.9
sweep,ir,ir/frame03.pgm,1,0.6248,102.7486,true,0.3452,0.2824,68.0689,79.4783,,,112.1
sweep,ir,ir/frame04.pgm,0,,,false,,,,,,,10.8
sweep,ir,ir/frame05.pgm,1,0.7137,104.3587,true,0.3903,0.2954,70.4760,81.2458,0.7082,112.2104,102.4
sweep,ir,ir/frame06.pgm,0,,,false,,,,,,,9.4
sweep,ir,ir/frame07.pgm,1,0.8381,111.3784,true,0.4115,0.3159,67.6048,80.9928,0.8785,113.7411,92.9
sweep,ir,ir/frame08.pgm,0,,,false,,,,,,,8.1
sweep,ir,ir/frame09.pgm,1,0.8466,115.5771,true,0.4129,0.3195,65.9131,81.7011,0.8436,113.4729,87.4
sweep,ir,ir/frame10.pgm,0,,,false,,,,,,,7.5
sweep,ir,ir/frame11.pgm,1,0.8837,121.1644,true,0.4524,0.3350,66.5956,81.6315,0.8996,119.6653,79.3
sweep,ir,ir/frame12.pgm,0,,,false,,,,,,,6.5
sweep,ir,ir/frame13.pgm,1,0.8674,119.4429,true,0.4588,0.3093,63.0105,80.9066,0.9269,124.4373,73.4
sweep,ir,ir/frame14.pgm,0,,,false,,,,,,,5.8
sweep,ir,ir/frame15.pgm,1,0.8600,117.3608,true,0.4401,0.2727,59.0443,80.4420,0.7934,119.3880,70.2
sweep,ir,ir/frame16.pgm,0,,,false,,,,,,,5.5
sweep,ir,ir/frame17.pgm,1,0.8812,120.2108,true,0.4434,0.2350,58.3593,82.3193,0.8422,121.5734,64.2
sweep,ir,ir/frame18.pgm,0,,,false,,,,,,,4.8
sweep,ir,ir/frame19.pgm,1,0.8902,114.5252,true,0.4759,0.2502,56.4617,79.8576,0.8538,116.0957,61.0
sweep,ir,ir/frame20.pgm,0,,,false,,,,,,,4.5
sweep,ir,ir/frame21.pgm,1,0.8926,111.8357,true,0.4927,0.2670,54.6421,80.4112,0.8174,127.0294,57.7
sweep,ir,ir/frame22.pgm,0,,,false,,,,,,,4.1
sweep,ir,ir/frame23.pgm,1,0.8945,112.5631,true,0.4449,0.2094,56.2671,80.1783,0.8250,127.0272,54.9
