camera,segment,kind,frame,ear_left,ear_right,blink_left,blink_right,jaw_open,brow_inner_up
zenbook,open-frontal,rgb,rgb/rgb08.ppm,0.2529,0.2775,0.1319,0.1433,0.0002,0.0007
zenbook,open-frontal,rgb,rgb/rgb09.ppm,0.2599,0.2822,0.1315,0.1219,0.0002,0.0004
zenbook,open-frontal,rgb,rgb/rgb10.ppm,0.2630,0.2923,0.1030,0.1033,0.0002,0.0005
zenbook,open-frontal,rgb,rgb/rgb11.ppm,0.2597,0.2857,0.1185,0.1191,0.0002,0.0007
zenbook,open-frontal,rgb,rgb/rgb12.ppm,0.2608,0.2821,0.1040,0.0929,0.0003,0.0006
zenbook,open-frontal,rgb,rgb/rgb13.ppm,0.2676,0.2921,0.0900,0.0892,0.0006,0.0008
zenbook,open-frontal,rgb,rgb/rgb14.ppm,0.2578,0.2843,0.1144,0.1308,0.0003,0.0005
zenbook,open-frontal,rgb,rgb/rgb15.ppm,0.2639,0.2787,0.1204,0.1175,0.0002,0.0004
zenbook,open-frontal,rgb,rgb/rgb16.ppm,0.2704,0.2819,0.1058,0.0774,0.0003,0.0007
zenbook,open-frontal,rgb,rgb/rgb17.ppm,0.2623,0.2860,0.1048,0.0985,0.0002,0.0005
zenbook,open-frontal,rgb,rgb/rgb18.ppm,0.2676,0.2915,0.1001,0.0967,0.0005,0.0006
zenbook,open-frontal,rgb,rgb/rgb19.ppm,0.2661,0.2825,0.1003,0.1005,0.0003,0.0004
zenbook,open-frontal,rgb,rgb/rgb20.ppm,0.2563,0.2835,0.1116,0.1132,0.0002,0.0006
zenbook,open-frontal,rgb,rgb/rgb21.ppm,0.2609,0.2860,0.1031,0.0950,0.0003,0.0005
zenbook,open-frontal,rgb,rgb/rgb22.ppm,0.2704,0.2970,0.0846,0.0895,0.0004,0.0006
zenbook,open-frontal,rgb,rgb/rgb23.ppm,0.2709,0.2950,0.1036,0.0899,0.0002,0.0006
zenbook,open-frontal,ir,ir/frame00.pgm,0.2538,0.2481,0.2023,0.2111,0.0006,0.0004
zenbook,open-frontal,ir,ir/frame01.pgm,,,,,,
zenbook,open-frontal,ir,ir/frame02.pgm,0.2584,0.2538,0.1883,0.2000,0.0007,0.0003
zenbook,open-frontal,ir,ir/frame03.pgm,,,,,,
zenbook,open-frontal,ir,ir/frame04.pgm,0.2657,0.2745,0.1540,0.1883,0.0008,0.0003
zenbook,open-frontal,ir,ir/frame05.pgm,,,,,,
zenbook,open-frontal,ir,ir/frame06.pgm,0.2624,0.2631,0.1720,0.1889,0.0008,0.0003
zenbook,open-frontal,ir,ir/frame07.pgm,,,,,,
zenbook,open-frontal,ir,ir/frame08.pgm,0.2507,0.2434,0.2085,0.2224,0.0008,0.0004
zenbook,open-frontal,ir,ir/frame09.pgm,,,,,,
zenbook,open-frontal,ir,ir/frame10.pgm,0.2315,0.2365,0.2205,0.2400,0.0011,0.0003
zenbook,open-frontal,ir,ir/frame11.pgm,,,,,,
zenbook,open-frontal,ir,ir/frame12.pgm,0.2355,0.2440,0.2052,0.2313,0.0012,0.0003
zenbook,open-frontal,ir,ir/frame13.pgm,,,,,,
zenbook,open-frontal,ir,ir/frame14.pgm,0.2540,0.2569,0.2122,0.2064,0.0005,0.0003
zenbook,open-frontal,ir,ir/frame15.pgm,,,,,,
zenbook,open-frontal,ir,ir/frame16.pgm,0.2390,0.2469,0.2059,0.2290,0.0010,0.0003
zenbook,open-frontal,ir,ir/frame17.pgm,,,,,,
zenbook,open-frontal,ir,ir/frame18.pgm,0.2527,0.2603,0.2030,0.2054,0.0007,0.0003
zenbook,open-frontal,ir,ir/frame19.pgm,,,,,,
zenbook,open-frontal,ir,ir/frame20.pgm,0.2425,0.2430,0.2112,0.2294,0.0009,0.0003
zenbook,open-frontal,ir,ir/frame21.pgm,,,,,,
zenbook,open-frontal,ir,ir/frame22.pgm,0.2589,0.2746,0.1691,0.1938,0.0007,0.0003
zenbook,open-frontal,ir,ir/frame23.pgm,,,,,,
zenbook,open-frontal-glasses,rgb,rgb/rgb00.ppm,0.2790,0.2876,0.0786,0.0670,0.0007,0.0242
zenbook,open-frontal-glasses,rgb,rgb/rgb01.ppm,0.2750,0.2828,0.1047,0.0808,0.0005,0.0246
zenbook,open-frontal-glasses,rgb,rgb/rgb02.ppm,0.2813,0.2897,0.0718,0.0556,0.0002,0.0128
zenbook,open-frontal-glasses,rgb,rgb/rgb03.ppm,0.2856,0.2993,0.0591,0.0477,0.0068,0.0219
zenbook,open-frontal-glasses,rgb,rgb/rgb04.ppm,0.2891,0.2926,0.0912,0.0687,0.0002,0.0327
zenbook,open-frontal-glasses,rgb,rgb/rgb05.ppm,0.2793,0.2889,0.0884,0.0815,0.0004,0.0168
zenbook,open-frontal-glasses,rgb,rgb/rgb06.ppm,0.2837,0.2868,0.0916,0.0575,0.0003,0.0413
zenbook,open-frontal-glasses,rgb,rgb/rgb07.ppm,0.2894,0.3014,0.0689,0.0626,0.0004,0.0218
zenbook,open-frontal-glasses,rgb,rgb/rgb08.ppm,0.2800,0.2914,0.0817,0.0685,0.0003,0.0256
zenbook,open-frontal-glasses,rgb,rgb/rgb09.ppm,0.2908,0.2991,0.0702,0.0603,0.0004,0.0265
zenbook,open-frontal-glasses,rgb,rgb/rgb10.ppm,0.2996,0.3126,0.0545,0.0409,0.0003,0.0479
zenbook,open-frontal-glasses,rgb,rgb/rgb11.ppm,0.2888,0.2928,0.0739,0.0556,0.0003,0.0214
zenbook,open-frontal-glasses,rgb,rgb/rgb12.ppm,0.2981,0.3156,0.0429,0.0430,0.0004,0.0238
zenbook,open-frontal-glasses,rgb,rgb/rgb13.ppm,0.2797,0.2980,0.0679,0.0658,0.0009,0.0341
zenbook,open-frontal-glasses,rgb,rgb/rgb14.ppm,0.2975,0.3096,0.0472,0.0440,0.0003,0.0169
zenbook,open-frontal-glasses,rgb,rgb/rgb15.ppm,0.2820,0.3016,0.0532,0.0639,0.0004,0.0281
zenbook,open-frontal-glasses,rgb,rgb/rgb16.ppm,0.2952,0.3058,0.0574,0.0489,0.0006,0.0286
zenbook,open-frontal-glasses,rgb,rgb/rgb17.ppm,0.3083,0.3165,0.0489,0.0412,0.0002,0.0271
zenbook,open-frontal-glasses,rgb,rgb/rgb18.ppm,0.3042,0.3229,0.0354,0.0350,0.0003,0.0246
